emotion,eye_openness,eyebrow_distance,mouth_opening,head_tilt
frustrated,0.3419,0.3397,0.01,10.6004
frustrated,0.582,0.3397,0.1389,-6.2976
frustrated,0.3114,0.4258,0.3295,-9.7185
frustrated,0.3504,0.4697,0.2605,-1.9388
frustrated,0.1695,0.3636,0.0699,-10.3468
frustrated,0.3793,0.3872,0.2508,-4.9532
frustrated,0.122,0.3818,0.6634,0.1545
frustrated,0.3648,0.3432,0.1125,0.0743
frustrated,0.3073,0.4879,0.0082,0.0825
frustrated,0.4149,0.4546,0.5623,-0.7736
frustrated,0.3602,0.4489,0.0664,-3.3272
frustrated,0.3194,0.5009,0.0319,0.1611
frustrated,0.3101,0.5048,0.0123,-6.4397
frustrated,0.255,0.4779,0.7541,-11.9876
frustrated,0.2059,0.4974,0.5475,-1.8863
frustrated,0.3708,0.5345,0.5115,-1.1598
frustrated,0.3409,0.3701,0.0141,5.1121
frustrated,0.2706,0.3462,0.1095,14.7008
frustrated,0.229,0.3653,0.4528,6.4144
frustrated,0.3685,0.4654,0.0089,3.2305
frustrated,0.0727,0.4572,0.1339,-3.6346
frustrated,0.0594,0.4246,0.3995,-0.9322
frustrated,0.407,0.4948,0.0146,-1.8966
frustrated,0.3843,0.6017,0.0429,-0.3193
frustrated,0.2834,0.336,0.2653,-8.8201
frustrated,0.1045,0.5492,0.35,0.7226
frustrated,0.2631,0.6269,0.1032,2.8955
frustrated,0.1547,0.5282,0.1268,1.3982
frustrated,0.3062,0.4037,0.5917,0.9279
frustrated,0.4182,0.4543,0.6871,-3.8741
frustrated,0.3003,0.3903,0.4663,-1.1446
frustrated,0.3082,0.5049,0.1171,-2.4302
frustrated,0.3272,0.4754,0.1775,-15.8914
frustrated,0.155,0.2843,0.008,-2.1734
frustrated,0.2931,0.3962,0.0213,25.7733
frustrated,0.3945,0.4476,0.0699,6.5719
frustrated,0.3598,0.5335,0.0057,-1.0017
frustrated,0.0228,0.3183,0.5507,2.6478
frustrated,0.2691,0.5144,0.0042,0.4445
frustrated,0.2519,0.4166,0.0202,-3.5854
frustrated,0.3885,0.5559,0.0075,-15.2656
frustrated,0.361,0.644,0.0049,3.3184
frustrated,0.3271,0.304,0.6143,-2.6041
frustrated,0.2502,0.4886,0.2348,-14.4057
frustrated,0.0527,0.4155,0.0094,10.0772
frustrated,0.3683,0.3515,0.0308,24.4094
frustrated,0.3298,0.4698,0.0182,2.3409
frustrated,0.3664,0.4834,0.0106,9.7724
frustrated,0.3653,0.3993,0.6618,-9.5001
frustrated,0.4474,0.4568,0.0518,4.1174
frustrated,0.2651,0.4692,0.6559,1.3165
frustrated,0.2526,0.3817,0.0024,-1.0903
frustrated,0.0902,0.3379,0.5324,1.497
frustrated,0.1352,0.4085,0.6984,0.8504
frustrated,0.3178,0.4251,0.5626,18.3304
frustrated,0.2567,0.439,0.0598,-5.7785
frustrated,0.1619,0.3729,0.611,-13.4924
frustrated,0.0728,0.35,0.9657,-2.1677
frustrated,0.2336,0.3511,1.0081,-16.7164
frustrated,0.1997,0.4719,0.0274,15.393
frustrated,0.2805,0.4941,0.2361,19.1807
frustrated,0.3992,0.48,0.318,-6.138
frustrated,0.0198,0.3211,0.4904,1.2408
frustrated,0.4255,0.3806,0.0277,22.895
frustrated,0.2106,0.2693,0.0468,0.2167
frustrated,0.433,0.382,1.1161,-16.3129
