emotion,eye_openness,eyebrow_distance,mouth_opening,head_tilt,mouth_width,mouth_height,eyebrow_asymmetry
frustrated,0.3419,0.3397,0.01,10.6004,0.1892,0.0019,0.0755
frustrated,0.582,0.3397,0.1389,-6.2976,0.094,0.0131,0.0043
frustrated,0.3114,0.4258,0.3295,-9.7185,0.2571,0.0847,0.0872
frustrated,0.3504,0.4697,0.2605,-1.9388,0.2567,0.0669,0.0047
frustrated,0.1695,0.3636,0.0699,-10.3468,0.2578,0.018,0.0805
frustrated,0.3793,0.3872,0.2508,-4.9532,0.3013,0.0756,0.0408
frustrated,0.122,0.3818,0.6634,0.1545,0.291,0.193,0.0013
frustrated,0.3648,0.3432,0.1125,0.0743,0.1318,0.0148,0.0048
frustrated,0.3073,0.4879,0.0082,0.0825,0.2736,0.0023,0.0053
frustrated,0.4149,0.4546,0.5623,-0.7736,0.1889,0.1062,0.0069
frustrated,0.3602,0.4489,0.0664,-3.3272,0.246,0.0163,0.0418
frustrated,0.3194,0.5009,0.0319,0.1611,0.2949,0.0094,0.0084
frustrated,0.3101,0.5048,0.0123,-6.4397,0.3332,0.0041,0.0691
frustrated,0.255,0.4779,0.7541,-11.9876,0.3017,0.2275,0.1375
frustrated,0.2059,0.4974,0.5475,-1.8863,0.3344,0.1831,0.0077
frustrated,0.3708,0.5345,0.5115,-1.1598,0.303,0.155,0.0077
frustrated,0.3409,0.3701,0.0141,5.1121,0.2139,0.003,0.0525
frustrated,0.2706,0.3462,0.1095,14.7008,0.198,0.0217,0.1062
frustrated,0.229,0.3653,0.4528,6.4144,0.274,0.1241,0.0397
frustrated,0.3685,0.4654,0.0089,3.2305,0.2466,0.0022,0.0149
frustrated,0.0727,0.4572,0.1339,-3.6346,0.3373,0.0452,0.0373
frustrated,0.0594,0.4246,0.3995,-0.9322,0.2941,0.1175,0.012
frustrated,0.407,0.4948,0.0146,-1.8966,0.2475,0.0036,0.0516
frustrated,0.3843,0.6017,0.0429,-0.3193,0.2863,0.0123,0.0031
frustrated,0.2834,0.336,0.2653,-8.8201,0.2107,0.0559,0.0509
frustrated,0.1045,0.5492,0.35,0.7226,0.4409,0.1543,0.003
frustrated,0.2631,0.6269,0.1032,2.8955,0.2986,0.0308,0.025
frustrated,0.1547,0.5282,0.1268,1.3982,0.2993,0.038,0.0176
frustrated,0.3062,0.4037,0.5917,0.9279,0.2652,0.1569,0.0055
frustrated,0.4182,0.4543,0.6871,-3.8741,0.2485,0.1708,0.0393
frustrated,0.3003,0.3903,0.4663,-1.1446,0.3106,0.1449,0.014
frustrated,0.3082,0.5049,0.1171,-2.4302,0.2528,0.0296,0.0201
frustrated,0.3272,0.4754,0.1775,-15.8914,0.2546,0.0452,0.1372
frustrated,0.155,0.2843,0.008,-2.1734,0.1537,0.0012,0.0005
frustrated,0.2931,0.3962,0.0213,25.7733,0.243,0.0052,0.1916
frustrated,0.3945,0.4476,0.0699,6.5719,0.2167,0.0152,0.0575
frustrated,0.3598,0.5335,0.0057,-1.0017,0.2512,0.0014,0.0021
frustrated,0.0228,0.3183,0.5507,2.6478,0.1972,0.1086,0.0129
